route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A,B_SEPT21-TB06-Samedi-03,15541039,Porte Guipavas,,0,,A_0_A0040_B89580F4C35D0F5C160D283936B9434A_JJAUR_TA_PTGUI_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541030,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541031,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541032,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541033,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541034,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541041,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541380,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15545960,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15546878,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15549666,Porte Guipavas,,0,,A_0_A0039_1027FF6F57C7CEEF8A340827A0952564_MENEZ_TA_PTGUI_TA_6,1,0
A,B_SEPT21-TB06-Samedi-03,15540981,Porte Gouesnou,,0,,A_0_A0035_96969CD688E74EE61FA555FEDB53C0EB_JJAUR_TA_PTGOU_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15540982,Porte Gouesnou,,0,,A_0_A0035_96969CD688E74EE61FA555FEDB53C0EB_JJAUR_TA_PTGOU_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15540983,Porte Gouesnou,,0,,A_0_A0035_96969CD688E74EE61FA555FEDB53C0EB_JJAUR_TA_PTGOU_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15540980,Portes Gouesnou/Guipavas,,0,,A_0_A0080_17C3C93A087EB18366F28900E0341949_LIBE_TA_PTGOU_TR_12,1,0
A,B_SEPT21-TB06-Samedi-03,15540974,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15540975,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15540976,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15540977,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15540978,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15540979,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15540984,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15540985,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541379,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15546881,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15549665,Porte Gouesnou,,0,,A_0_A0033_8ED188099CC10A1839E5AB6F49FC7A04_MENEZ_TA_PTGOU_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15545949,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TB06-Samedi-03,15545947,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244054,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244055,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244056,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244057,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244058,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244059,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244060,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244061,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244062,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244063,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244064,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244065,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244066,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244067,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244068,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244069,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244070,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244071,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244072,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244073,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244074,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244075,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244076,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244077,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244078,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244079,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244080,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244081,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244082,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244083,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244084,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244085,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244086,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244087,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
A,B_SEPT21-TA01-Semaine-00,15244088,Porte Plouzané,,1,,A_1_A0023_8492ED9A8BA273927CBE08D5AC83BAA8_PTGUI_TA_PTPLZ_TR_25,1,0
