stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
SMART_TR,,Saint-Martin,,48.39413,-4.480101,,,0,,,1,,
BORDE_2,,Bordenave,,48.39291,-4.502024,,,0,,,0,,
SMART_TA,,Saint-Martin,,48.39409,-4.480044,,,0,,,1,,
HYDRO_1,,B18,,48.37807,-4.497854,,,0,,,0,,
DUPUY_TA,,Dupuy de Lôme,,48.39057,-4.510132,,,0,,,1,,
HYDRO_2,,B18,,48.378017,-4.497903,,,0,,,0,,
DUPUY_TR,,Dupuy de Lôme,,48.390625,-4.510152,,,0,,,1,,
POINTE_1,,B21,,48.379433,-4.500527,,,0,,,0,,
POINTE_2,,B21,,48.379364,-4.50055,,,0,,,0,,
LANGEV_2,,Langevin,,48.402306,-4.498715,,,0,,,1,,
GUIL_E_3,,Guilers Eglise,,48.425102,-4.559651,,,0,,,1,,
LANGEV_1,,Langevin,,48.40181,-4.498869,,,0,,,1,,
GUIL_E_2,,Guilers Eglise,,48.425213,-4.558493,,,0,,,1,,
COPPIN_2,,Coppin,,48.39405,-4.494357,,,0,,,1,,
ROUDOU_2,,Roudous,,48.429886,-4.559388,,,0,,,1,,
COPPIN_1,,Coppin,,48.39382,-4.494396,,,0,,,1,,
ROUDOU_1,,Roudous,,48.43023,-4.559959,,,0,,,1,,
KERHAL_1,,Kerhallet,,48.402878,-4.508324,,,0,,,1,,
GUIL_M_4,,Guilers Mairie,,48.422985,-4.558638,,,0,,,1,,
JJAUR_TR,,Jean Jaurès,,48.392345,-4.482848,,,0,,,1,,
KERHAL_2,,Kerhallet,,48.40311,-4.508451,,,0,,,1,,
GUIL_M_3,,Guilers Mairie,,48.42351,-4.558606,,,0,,,1,,
JJAUR_TA,,Jean Jaurès,,48.392307,-4.482792,,,0,,,1,,
POLYG_TR,,Polygone,,48.38719,-4.518873,,,0,,,1,,
ESNLE_2,,ESNLE,,48.374416,-4.516787,,,0,,,0,,
CREACH_3,,Pen ar Créac'h,,48.404522,-4.4643,,,0,,,1,,
CREACH_4,,Pen ar Créac'h,,48.404434,-4.464168,,,0,,,1,,
RODY_1,,Rody,,48.398006,-4.432258,,,0,,,1,,
RODY_2,,Rody,,48.397877,-4.43204,,,0,,,1,,
PENARC_2,,Pen Ar C'hleuz,,48.417038,-4.482676,,,0,,,1,,
RTCRXR_1,,Rte de la Croix Rouge,,48.361603,-4.381273,,,0,,,0,,
KERZIV_1,,Kerzivez,,48.34819,-4.409444,,,0,,,0,,
TALLIN_1,,Tallinn,,48.389687,-4.525426,,,0,,,1,,
RESTIC_1,,Restic,,48.42713,-4.49319,,,0,,,0,,
TARTU_2,,Tartu,,48.38321,-4.527745,,,0,,,1,,
KEROUM_1,,Keroumen,,48.412292,-4.39453,,,0,,,1,,
PENARC_1,,Pen Ar C'hleuz,,48.417248,-4.482102,,,0,,,1,,
TALLIN_2,,Tallinn,,48.389385,-4.524701,,,0,,,1,,
MESDOU_2,,Mesdoun,,48.379017,-4.527017,,,0,,,1,,
KERJA_1,,Kerjaouen,,48.42906,-4.410705,,,0,,,0,,
SALANG_2,,Salanguis,,48.41773,-4.430017,,,0,,,0,,
STECHR_1,,Sainte-Christine,,48.358685,-4.410382,,,0,,,0,,
MOUETT_2,,Mouettes,,48.38151,-4.617796,,,0,,,1,,
KERIGL_2,,Keriguel,,48.40283,-4.399258,,,0,,,1,,
KRGR_1,,Kerougar,,48.374447,-4.397483,,,0,,,0,,
SYVOM_2,,Sycomores,,48.377266,-4.586329,,,0,,,0,,
KERJA_2,,Kerjaouen,,48.429005,-4.410557,,,0,,,0,,
QUESTE_1,,Questel,,48.39887,-4.531777,,,0,,,1,,
LEBOT_2,,Le Bot Haut,,48.40195,-4.459718,,,0,,,1,,
MOULIN_2,,Jean Moulin,,48.386475,-4.492947,,,0,,,1,,
MOUETT_1,,Mouettes,,48.38169,-4.617818,,,0,,,1,,
KERIGL_1,,Keriguel,,48.402756,-4.398818,,,0,,,1,,
DUQUES_2,,Duquesne,,48.388344,-4.491875,,,0,,,1,,
TARTU_1,,Tartu,,48.38327,-4.527526,,,0,,,1,,
KEROUM_2,,Keroumen,,48.412327,-4.394404,,,0,,,1,,
ECNA_1,,CIN,,48.373028,-4.525548,,,0,,,0,,
QUESTE_2,,Questel,,48.399033,-4.531638,,,0,,,1,,
LEBOT_1,,Le Bot Haut,,48.402027,-4.459398,,,0,,,1,,
RESTIC_2,,Restic,,48.427242,-4.493162,,,0,,,0,,
SALANG_1,,Salanguis,,48.417908,-4.430239,,,0,,,0,,
KERAMA_1,,Keramazé,,48.372864,-4.579542,,,0,,,1,,
ORVES_2,,D'Estienne d'Orves,,48.39069,-4.464724,,,0,,,1,,
KERAMA_2,,Keramazé,,48.372387,-4.580277,,,0,,,1,,
ORVES_1,,D'Estienne d'Orves,,48.3906,-4.464664,,,0,,,1,,
MESDOU_1,,Mesdoun,,48.379284,-4.526909,,,0,,,1,,
SYCOM_1,,Sycomores,,48.37736,-4.586498,,,0,,,0,,
KERGOM_1,,Kergompez,,48.43655,-4.383527,,,0,,,1,,
KERGOM_2,,Kergompez,,48.43679,-4.383487,,,0,,,1,,
KASTL_2,,Kastler,,48.429867,-4.442297,,,0,,,0,,
KERAL_2,,Kerallan,,48.378963,-4.589172,,,0,,,0,,
STANG_1,,Stang Alar,,48.410973,-4.454499,,,0,,,1,,
KASTL_1,,Kastler,,48.429955,-4.442344,,,0,,,0,,
KERAL_1,,Kerallan,,48.379013,-4.588873,,,0,,,0,,
STANG_2,,Stang Alar,,48.410923,-4.454127,,,0,,,1,,
LIPPMAN2,,Lippmann,,48.426434,-4.458063,,,0,,,1,,
EROUSS_1,,Emile Rousse,,48.386246,-4.528158,,,0,,,1,,
PNEUF_2,,Pont Neuf,,48.40885,-4.457405,,,0,,,1,,
LIPPMAN1,,Lippmann,,48.426403,-4.458221,,,0,,,1,,
LOURCH_1,,Lourc'h,,48.380306,-4.618306,,,0,,,0,,
PNEUF_1,,Pont Neuf,,48.40935,-4.456915,,,0,,,1,,
MESLEI_1,,Mesleiou,,48.368095,-4.395771,,,0,,,0,,
ABER_1,,Aber-Ildut,,48.380928,-4.613643,,,0,,,1,,
COAT_J_1,,Coat Jestin,,48.427197,-4.414192,,,0,,,0,,
EROUSS_2,,Emile Rousse,,48.386272,-4.528498,,,0,,,1,,
COAT_J_2,,Coat Jestin,,48.427338,-4.413327,,,0,,,0,,
KRLIO_1,,Keraliou,,48.379333,-4.401528,,,0,,,0,,
KRUHEL_1,,Kerhuel,,48.4039,-4.411819,,,0,,,1,,
FLOCH_1,,Floch,,48.40118,-4.454509,,,0,,,1,,
GOUEZ_1,,Gouez,,48.411438,-4.527339,,,0,,,1,,
MEDATQ_1,,Médiathèque,,48.40249,-4.391999,,,0,,,1,,
GOUEZ_2,,Gouez,,48.410973,-4.526705,,,0,,,1,,
KRUHEL_2,,Kerhuel,,48.403923,-4.411631,,,0,,,1,,
GNEMER_2,,Guynemer,,48.39473,-4.463699,,,0,,,1,,
CORIOL_2,,Coriolis,,48.427258,-4.446878,,,0,,,1,,
GNEMER_1,,Guynemer,,48.39505,-4.463661,,,0,,,1,,
ETANG_2,,Etang,,48.41024,-4.520664,,,0,,,1,,
CORIO_1,,Coriolis,,48.427338,-4.44679,,,0,,,1,,
FRESN_1,,Fresnel,,48.428776,-4.448247,,,0,,,0,,
FLLERE_2,,Feuillère,,48.39135,-4.534533,,,0,,,1,,
FRESN_2,,Fresnel,,48.42869,-4.4483,,,0,,,0,,
RODIN_2,,Rodin,,48.397285,-4.464724,,,0,,,1,,
KERRA_1,,Kerarrouz,,48.37391,-4.595073,,,0,,,1,,
SPADIUM,,Spadium Parc,,48.39689,-4.421781,,,0,,,1,,
